descripcion,categoria
"El vehículo presenta óxido, además escape roto y puertas que no cierran.",malo
"Está en mal estado general: escape roto, puertas que no cierran, y fuga de aceite.",malo
"Está en mal estado general: luces delanteras inoperativas, neumáticos lisos, y frenos desgastados.",malo
"El vehículo luces delanteras inoperativas, además parabrisas roto y neumáticos lisos.",malo
"Está en mal estado general: parabrisas roto, motor con fallas, y presenta óxido.",malo
"Presenta ruido excesivo y presenta óxido, con signos de que también frenos desgastados.",malo
"El vehículo ruido excesivo, además batería descargada y presenta óxido.",malo
"Está en mal estado general: fuga de aceite, batería descargada, y no arranca.",malo
"Presenta ruido excesivo y frenos desgastados, con signos de que también parabrisas roto.",malo
"El vehículo batería descargada, además fuga de aceite y frenos desgastados.",malo
"Presenta frenos desgastados y batería descargada, con signos de que también escape roto.",malo
"Presenta fuga de aceite y motor con fallas, con signos de que también puertas que no cierran.",malo
"Presenta neumáticos lisos y frenos desgastados, con signos de que también ruido excesivo.",malo
"Está en mal estado general: escape roto, motor con fallas, y ruido excesivo.",malo
"Está en mal estado general: parabrisas roto, frenos desgastados, y luces delanteras inoperativas.",malo
"Presenta neumáticos lisos y puertas que no cierran, con signos de que también presenta óxido.",malo
"Presenta fuga de aceite y ruido excesivo, con signos de que también motor con fallas.",malo
"Está en mal estado general: presenta óxido, frenos desgastados, y batería descargada.",malo
"El vehículo fuga de aceite, además escape roto y no arranca.",malo
"Está en mal estado general: parabrisas roto, escape roto, y no arranca.",malo
"Está en mal estado general: presenta óxido, ruido excesivo, y frenos desgastados.",malo
"El vehículo batería descargada, además no arranca y escape roto.",malo
"El vehículo no arranca, además batería descargada y frenos desgastados.",malo
"El vehículo luces delanteras inoperativas, además escape roto y no arranca.",malo
"Está en mal estado general: no arranca, motor con fallas, y escape roto.",malo
"Presenta neumáticos lisos y ruido excesivo, con signos de que también presenta óxido.",malo
"Está en mal estado general: luces delanteras inoperativas, frenos desgastados, y parabrisas roto.",malo
"Está en mal estado general: motor con fallas, fuga de aceite, y parabrisas roto.",malo
"El vehículo batería descargada, además fuga de aceite y presenta óxido.",malo
"Presenta luces delanteras inoperativas y motor con fallas, con signos de que también frenos desgastados.",malo
"Presenta luces delanteras inoperativas y parabrisas roto, con signos de que también ruido excesivo.",malo
"El vehículo motor con fallas, además ruido excesivo y batería descargada.",malo
"Está en mal estado general: motor con fallas, frenos desgastados, y no arranca.",malo
"Presenta motor con fallas y ruido excesivo, con signos de que también puertas que no cierran.",malo
"Está en mal estado general: frenos desgastados, fuga de aceite, y parabrisas roto.",malo
"Está en mal estado general: puertas que no cierran, batería descargada, y neumáticos lisos.",malo
"El vehículo presenta óxido, además luces delanteras inoperativas y no arranca.",malo
"El vehículo luces delanteras inoperativas, además frenos desgastados y parabrisas roto.",malo
"Está en mal estado general: fuga de aceite, motor con fallas, y parabrisas roto.",malo
"Presenta neumáticos lisos y puertas que no cierran, con signos de que también motor con fallas.",malo
"Presenta presenta óxido y escape roto, con signos de que también fuga de aceite.",malo
"El vehículo neumáticos lisos, además ruido excesivo y luces delanteras inoperativas.",malo
"Está en mal estado general: presenta óxido, escape roto, y neumáticos lisos.",malo
"El vehículo batería descargada, además escape roto y no arranca.",malo
"El vehículo luces delanteras inoperativas, además fuga de aceite y parabrisas roto.",malo
"El vehículo presenta óxido, además frenos desgastados y escape roto.",malo
"Presenta batería descargada y parabrisas roto, con signos de que también escape roto.",malo
"Presenta ruido excesivo y frenos desgastados, con signos de que también presenta óxido.",malo
"Presenta neumáticos lisos y batería descargada, con signos de que también parabrisas roto.",malo
"El vehículo puertas que no cierran, además escape roto y neumáticos lisos.",malo
"Está en mal estado general: batería descargada, neumáticos lisos, y fuga de aceite.",malo
"Está en mal estado general: fuga de aceite, luces delanteras inoperativas, y frenos desgastados.",malo
"Presenta ruido excesivo y frenos desgastados, con signos de que también escape roto.",malo
"Está en mal estado general: escape roto, batería descargada, y no arranca.",malo
"Está en mal estado general: luces delanteras inoperativas, puertas que no cierran, y fuga de aceite.",malo
"Tiene requiere cambio de aceite y motor hace un leve ruido, aunque pequeños rayones.",neutral
"Tiene mantenimiento irregular y pequeños rayones, aunque luces traseras sucias.",neutral
"Aunque puertas algo duras y requiere cambio de aceite, todavía aire acondicionado ruidoso.",neutral
"Aunque luces traseras sucias y interior con algo de desgaste, todavía aire acondicionado ruidoso.",neutral
"Aunque ventanas con rayones y luces traseras sucias, todavía pequeños rayones.",neutral
"Tiene puertas algo duras y ventanas con rayones, aunque aire acondicionado ruidoso.",neutral
"Tiene interior con algo de desgaste y ventanas con rayones, aunque puertas algo duras.",neutral
"El coche ventanas con rayones, pero aún interior con algo de desgaste. También aire acondicionado ruidoso.",neutral
"Aunque interior con algo de desgaste y puertas algo duras, todavía llanta ligeramente desgastada.",neutral
"Tiene llanta ligeramente desgastada y ventanas con rayones, aunque motor hace un leve ruido.",neutral
"Tiene pequeños rayones y mantenimiento irregular, aunque motor hace un leve ruido.",neutral
"El coche requiere cambio de aceite, pero aún puertas algo duras. También motor hace un leve ruido.",neutral
"Aunque motor hace un leve ruido y luces traseras sucias, todavía puertas algo duras.",neutral
"Aunque puertas algo duras y motor hace un leve ruido, todavía luces traseras sucias.",neutral
"Aunque ventanas con rayones y requiere cambio de aceite, todavía interior con algo de desgaste.",neutral
"Tiene mantenimiento irregular y luces traseras sucias, aunque aire acondicionado ruidoso.",neutral
"Tiene mantenimiento irregular y aire acondicionado ruidoso, aunque interior con algo de desgaste.",neutral
"Tiene pequeños rayones y aire acondicionado ruidoso, aunque ventanas con rayones.",neutral
"El coche requiere cambio de aceite, pero aún puertas algo duras. También interior con algo de desgaste.",neutral
"Tiene llanta ligeramente desgastada y motor hace un leve ruido, aunque aire acondicionado ruidoso.",neutral
"El coche motor hace un leve ruido, pero aún pequeños rayones. También luces traseras sucias.",neutral
"El coche motor hace un leve ruido, pero aún puertas algo duras. También luces traseras sucias.",neutral
"El coche motor hace un leve ruido, pero aún luces traseras sucias. También llanta ligeramente desgastada.",neutral
"Tiene aire acondicionado ruidoso y motor hace un leve ruido, aunque interior con algo de desgaste.",neutral
"Aunque llanta ligeramente desgastada y luces traseras sucias, todavía mantenimiento irregular.",neutral
"El coche requiere cambio de aceite, pero aún interior con algo de desgaste. También pequeños rayones.",neutral
"El coche requiere cambio de aceite, pero aún pequeños rayones. También luces traseras sucias.",neutral
"Tiene mantenimiento irregular y ventanas con rayones, aunque aire acondicionado ruidoso.",neutral
"Tiene requiere cambio de aceite y puertas algo duras, aunque pequeños rayones.",neutral
"Tiene llanta ligeramente desgastada y pequeños rayones, aunque motor hace un leve ruido.",neutral
"Tiene mantenimiento irregular y luces traseras sucias, aunque motor hace un leve ruido.",neutral
"El coche requiere cambio de aceite, pero aún puertas algo duras. También mantenimiento irregular.",neutral
"Tiene requiere cambio de aceite y llanta ligeramente desgastada, aunque mantenimiento irregular.",neutral
"Tiene motor hace un leve ruido y aire acondicionado ruidoso, aunque pequeños rayones.",neutral
"Tiene interior con algo de desgaste y puertas algo duras, aunque ventanas con rayones.",neutral
"Aunque luces traseras sucias y mantenimiento irregular, todavía llanta ligeramente desgastada.",neutral
"Tiene puertas algo duras y ventanas con rayones, aunque aire acondicionado ruidoso.",neutral
"Tiene puertas algo duras y llanta ligeramente desgastada, aunque requiere cambio de aceite.",neutral
"Tiene interior con algo de desgaste y llanta ligeramente desgastada, aunque ventanas con rayones.",neutral
"Aunque requiere cambio de aceite y mantenimiento irregular, todavía aire acondicionado ruidoso.",neutral
"Tiene mantenimiento irregular y llanta ligeramente desgastada, aunque luces traseras sucias.",neutral
"El coche puertas algo duras, pero aún requiere cambio de aceite. También llanta ligeramente desgastada.",neutral
"Aunque llanta ligeramente desgastada y luces traseras sucias, todavía requiere cambio de aceite.",neutral
"Aunque mantenimiento irregular y luces traseras sucias, todavía aire acondicionado ruidoso.",neutral
"El coche puertas algo duras, pero aún luces traseras sucias. También requiere cambio de aceite.",neutral
"El coche ventanas con rayones, pero aún requiere cambio de aceite. También motor hace un leve ruido.",neutral
"Aunque interior con algo de desgaste y motor hace un leve ruido, todavía ventanas con rayones.",neutral
"Aunque pequeños rayones y ventanas con rayones, todavía mantenimiento irregular.",neutral
"Aunque puertas algo duras y interior con algo de desgaste, todavía llanta ligeramente desgastada.",neutral
"Aunque aire acondicionado ruidoso y interior con algo de desgaste, todavía luces traseras sucias.",neutral
"Aunque puertas algo duras y luces traseras sucias, todavía llanta ligeramente desgastada.",neutral
"El coche aire acondicionado ruidoso, pero aún luces traseras sucias. También interior con algo de desgaste.",neutral
"Tiene interior con algo de desgaste y puertas algo duras, aunque motor hace un leve ruido.",neutral
"El coche aire acondicionado ruidoso, pero aún mantenimiento irregular. También llanta ligeramente desgastada.",neutral
"Tiene aire acondicionado ruidoso y interior con algo de desgaste, aunque requiere cambio de aceite.",neutral
"Tiene puertas algo duras y requiere cambio de aceite, aunque motor hace un leve ruido.",neutral
"El vehículo frenos en excelente estado y aire acondicionado funcional, además luces completamente operativas.",bueno
"Todo funciona correctamente, incluyendo pintura impecable, mantenimiento reciente, y cristales impecables.",bueno
"Todo funciona correctamente, incluyendo sin ruidos extraños, neumáticos nuevos, y motor suave.",bueno
"El vehículo cristales impecables y aire acondicionado funcional, además sin ruidos extraños.",bueno
"Está en excelente estado: pintura impecable, sin ruidos extraños y mantenimiento reciente.",bueno
"Está en excelente estado: pintura impecable, neumáticos nuevos y mantenimiento reciente.",bueno
"Aunque aire acondicionado ruidoso y interior con algo de desgaste, todavía motor hace un leve ruido.",neutral
"Aunque luces traseras sucias y motor hace un leve ruido, todavía puertas algo duras.",neutral
"Aunque motor hace un leve ruido y llanta ligeramente desgastada, todavía requiere cambio de aceite.",neutral
"Tiene interior con algo de desgaste y aire acondicionado ruidoso, aunque ventanas con rayones.",neutral
"El coche aire acondicionado ruidoso, pero aún interior con algo de desgaste. También motor hace un leve ruido.",neutral
"Aunque ventanas con rayones y motor hace un leve ruido, todavía aire acondicionado ruidoso.",neutral
"Aunque pequeños rayones y puertas algo duras, todavía mantenimiento irregular.",neutral
"El coche ventanas con rayones, pero aún llanta ligeramente desgastada. También luces traseras sucias.",neutral
"Tiene luces traseras sucias y requiere cambio de aceite, aunque aire acondicionado ruidoso.",neutral
"Aunque aire acondicionado ruidoso y ventanas con rayones, todavía llanta ligeramente desgastada.",neutral
"Aunque llanta ligeramente desgastada y aire acondicionado ruidoso, todavía ventanas con rayones.",neutral
"Aunque mantenimiento irregular y puertas algo duras, todavía aire acondicionado ruidoso.",neutral
"Aunque pequeños rayones y mantenimiento irregular, todavía requiere cambio de aceite.",neutral
"Aunque ventanas con rayones y puertas algo duras, todavía pequeños rayones.",neutral
"Aunque motor hace un leve ruido y puertas algo duras, todavía interior con algo de desgaste.",neutral
"Tiene luces traseras sucias y motor hace un leve ruido, aunque ventanas con rayones.",neutral
"Tiene aire acondicionado ruidoso y llanta ligeramente desgastada, aunque motor hace un leve ruido.",neutral
"Aunque llanta ligeramente desgastada y requiere cambio de aceite, todavía aire acondicionado ruidoso.",neutral
"Aunque motor hace un leve ruido y luces traseras sucias, todavía ventanas con rayones.",neutral
"Tiene motor hace un leve ruido y llanta ligeramente desgastada, aunque mantenimiento irregular.",neutral
"Aunque llanta ligeramente desgastada y aire acondicionado ruidoso, todavía requiere cambio de aceite.",neutral
"El coche ventanas con rayones, pero aún luces traseras sucias. También aire acondicionado ruidoso.",neutral
"Aunque interior con algo de desgaste y pequeños rayones, todavía motor hace un leve ruido.",neutral
"El coche pequeños rayones, pero aún ventanas con rayones. También motor hace un leve ruido.",neutral
"El coche ventanas con rayones, pero aún requiere cambio de aceite. También mantenimiento irregular.",neutral
"Tiene mantenimiento irregular y puertas algo duras, aunque interior con algo de desgaste.",neutral
"Tiene requiere cambio de aceite y pequeños rayones, aunque mantenimiento irregular.",neutral
"Aunque pequeños rayones y requiere cambio de aceite, todavía puertas algo duras.",neutral
"Aunque aire acondicionado ruidoso y interior con algo de desgaste, todavía requiere cambio de aceite.",neutral
"El coche interior con algo de desgaste, pero aún requiere cambio de aceite. También luces traseras sucias.",neutral
"Tiene interior con algo de desgaste y mantenimiento irregular, aunque luces traseras sucias.",neutral
"Tiene motor hace un leve ruido y aire acondicionado ruidoso, aunque puertas algo duras.",neutral
"El coche pequeños rayones, pero aún requiere cambio de aceite. También mantenimiento irregular.",neutral
"Tiene interior con algo de desgaste y ventanas con rayones, aunque pequeños rayones.",neutral
"Tiene interior con algo de desgaste y llanta ligeramente desgastada, aunque puertas algo duras.",neutral
"El coche mantenimiento irregular, pero aún pequeños rayones. También ventanas con rayones.",neutral
"Aunque aire acondicionado ruidoso y puertas algo duras, todavía pequeños rayones.",neutral
"Tiene mantenimiento irregular y ventanas con rayones, aunque luces traseras sucias.",neutral
"El vehículo presenta óxido, además fuga de aceite y escape roto.",malo
"Está en mal estado general: escape roto, ruido excesivo, y batería descargada.",malo
"El vehículo motor con fallas, además batería descargada y puertas que no cierran.",malo
"El vehículo motor con fallas, además ruido excesivo y batería descargada.",malo
"Está en mal estado general: escape roto, neumáticos lisos, y frenos desgastados.",malo
"Presenta fuga de aceite y neumáticos lisos, con signos de que también batería descargada.",malo
"El vehículo no arranca, además motor con fallas y neumáticos lisos.",malo
"Está en excelente estado: mantenimiento reciente, motor suave y pintura impecable.",bueno
"El vehículo frenos en excelente estado y motor suave, además funciona perfectamente.",bueno
"Todo funciona correctamente, incluyendo carrocería sin abolladuras, frenos en excelente estado, y luces completamente operativas.",bueno
"Aunque ventanas con rayones y motor hace un leve ruido, todavía aire acondicionado ruidoso.",neutral
"El coche pequeños rayones, pero aún motor hace un leve ruido. También interior con algo de desgaste.",neutral
"El coche llanta ligeramente desgastada, pero aún luces traseras sucias. También puertas algo duras.",neutral
"Tiene motor hace un leve ruido y ventanas con rayones, aunque requiere cambio de aceite.",neutral
"El coche aire acondicionado ruidoso, pero aún requiere cambio de aceite. También interior con algo de desgaste.",neutral
"El coche motor hace un leve ruido, pero aún interior con algo de desgaste. También aire acondicionado ruidoso.",neutral
"Tiene requiere cambio de aceite y mantenimiento irregular, aunque luces traseras sucias.",neutral
"Aunque luces traseras sucias y requiere cambio de aceite, todavía llanta ligeramente desgastada.",neutral
"Tiene interior con algo de desgaste y mantenimiento irregular, aunque ventanas con rayones.",neutral
"Tiene mantenimiento irregular y aire acondicionado ruidoso, aunque requiere cambio de aceite.",neutral
"Aunque motor hace un leve ruido y luces traseras sucias, todavía aire acondicionado ruidoso.",neutral
"El coche pequeños rayones, pero aún requiere cambio de aceite. También puertas algo duras.",neutral
"Aunque motor hace un leve ruido y puertas algo duras, todavía mantenimiento irregular.",neutral
"Aunque ventanas con rayones y interior con algo de desgaste, todavía requiere cambio de aceite.",neutral
"Aunque interior con algo de desgaste y requiere cambio de aceite, todavía llanta ligeramente desgastada.",neutral
"Tiene motor hace un leve ruido y luces traseras sucias, aunque puertas algo duras.",neutral
"Todo funciona correctamente, incluyendo neumáticos nuevos, cristales impecables, y aire acondicionado funcional.",bueno
"Está en excelente estado: luces completamente operativas, motor suave y mantenimiento reciente.",bueno
"El vehículo mantenimiento reciente y aire acondicionado funcional, además pintura impecable.",bueno
"El vehículo funciona perfectamente y pintura impecable, además sin ruidos extraños.",bueno
"El vehículo neumáticos nuevos y cristales impecables, además funciona perfectamente.",bueno
"Todo funciona correctamente, incluyendo interior limpio, luces completamente operativas, y pintura impecable.",bueno
"Todo funciona correctamente, incluyendo sin ruidos extraños, luces completamente operativas, y interior limpio.",bueno
"El vehículo carrocería sin abolladuras y neumáticos nuevos, además sin ruidos extraños.",bueno
"El vehículo aire acondicionado funcional y funciona perfectamente, además neumáticos nuevos.",bueno
"El coche llanta ligeramente desgastada, pero aún ventanas con rayones. También interior con algo de desgaste.",neutral
"El coche interior con algo de desgaste, pero aún mantenimiento irregular. También llanta ligeramente desgastada.",neutral
"Tiene requiere cambio de aceite y interior con algo de desgaste, aunque puertas algo duras.",neutral
"Aunque requiere cambio de aceite y mantenimiento irregular, todavía aire acondicionado ruidoso.",neutral
"El coche interior con algo de desgaste, pero aún requiere cambio de aceite. También puertas algo duras.",neutral
"Aunque interior con algo de desgaste y motor hace un leve ruido, todavía luces traseras sucias.",neutral
"El coche ventanas con rayones, pero aún motor hace un leve ruido. También llanta ligeramente desgastada.",neutral
"Aunque ventanas con rayones y luces traseras sucias, todavía pequeños rayones.",neutral
"Tiene ventanas con rayones y llanta ligeramente desgastada, aunque luces traseras sucias.",neutral
"Tiene interior con algo de desgaste y puertas algo duras, aunque ventanas con rayones.",neutral
"El coche pequeños rayones, pero aún aire acondicionado ruidoso. También ventanas con rayones.",neutral
"El coche aire acondicionado ruidoso, pero aún pequeños rayones. También requiere cambio de aceite.",neutral
"Tiene puertas algo duras y llanta ligeramente desgastada, aunque motor hace un leve ruido.",neutral
"Aunque motor hace un leve ruido y aire acondicionado ruidoso, todavía ventanas con rayones.",neutral
"El coche pequeños rayones, pero aún motor hace un leve ruido. También luces traseras sucias.",neutral
"El coche mantenimiento irregular, pero aún llanta ligeramente desgastada. También requiere cambio de aceite.",neutral
"Tiene llanta ligeramente desgastada y pequeños rayones, aunque interior con algo de desgaste.",neutral
"Aunque pequeños rayones y interior con algo de desgaste, todavía motor hace un leve ruido.",neutral
"Tiene mantenimiento irregular y puertas algo duras, aunque requiere cambio de aceite.",neutral
"El coche motor hace un leve ruido, pero aún llanta ligeramente desgastada. También puertas algo duras.",neutral
"Aunque luces traseras sucias y puertas algo duras, todavía llanta ligeramente desgastada.",neutral
"Aunque puertas algo duras y requiere cambio de aceite, todavía llanta ligeramente desgastada.",neutral
"Aunque interior con algo de desgaste y motor hace un leve ruido, todavía pequeños rayones.",neutral
"Aunque pequeños rayones y aire acondicionado ruidoso, todavía mantenimiento irregular.",neutral
"El coche mantenimiento irregular, pero aún puertas algo duras. También interior con algo de desgaste.",neutral
"El coche luces traseras sucias, pero aún pequeños rayones. También llanta ligeramente desgastada.",neutral
"Aunque luces traseras sucias y pequeños rayones, todavía requiere cambio de aceite.",neutral
"Aunque luces traseras sucias y requiere cambio de aceite, todavía puertas algo duras.",neutral
